zip,date,911-score
21205,2018-06-01,0.0
21205,2018-07-01,0.0
21205,2018-08-01,0.0
21205,2018-09-01,0.0
21205,2018-10-01,0.0
21205,2018-11-01,0.0
21206,2015-01-01,6.15625
21206,2015-02-01,6.0
21206,2015-03-01,3.59375
21206,2015-04-01,4.0625
21206,2015-05-01,4.84375
21206,2015-06-01,3.96875
21206,2015-07-01,4.125
21206,2015-08-01,4.9375
21206,2015-09-01,4.125
21206,2015-10-01,2.65625
21206,2015-11-01,3.15625
21206,2015-12-01,2.5625
21206,2016-01-01,2.8125
21206,2016-02-01,3.0625
21206,2016-03-01,2.78125
21206,2016-04-01,2.5
21206,2016-05-01,2.53125
21206,2016-06-01,3.1875
21206,2016-07-01,4.5625
21206,2016-08-01,4.40625
21206,2016-09-01,5.09375
21206,2016-10-01,4.59375
21206,2016-11-01,3.8125
21206,2016-12-01,5.0
21206,2017-01-01,4.9375
21206,2017-02-01,5.125
21206,2017-03-01,4.78125
21206,2017-04-01,4.34375
21206,2017-05-01,3.71875
21206,2017-06-01,5.03125
21206,2017-07-01,4.875
21206,2017-08-01,5.46875
21206,2017-09-01,3.90625
21206,2017-10-01,5.125
21206,2017-11-01,4.40625
21206,2017-12-01,4.6875
21206,2018-01-01,1.78125
21206,2018-02-01,4.4375
21206,2018-03-01,3.96875
21206,2018-04-01,4.5
21206,2018-05-01,3.84375
21206,2018-06-01,4.5625
21206,2018-07-01,4.625
21206,2018-08-01,4.65625
21206,2018-09-01,4.46875
21206,2018-10-01,4.375
21206,2018-11-01,4.40625
21207,2015-01-01,9.46875
21207,2015-02-01,9.15625
21207,2015-03-01,8.59375
21207,2015-04-01,8.375
21207,2015-05-01,8.5
21207,2015-06-01,8.46875
21207,2015-07-01,8.03125
21207,2015-08-01,8.34375
21207,2015-09-01,8.15625
21207,2015-10-01,8.5
21207,2015-11-01,7.65625
21207,2015-12-01,8.65625
21207,2016-01-01,8.6875
21207,2016-02-01,8.0
21207,2016-03-01,8.0625
21207,2016-04-01,8.46875
21207,2016-05-01,8.0625
21207,2016-06-01,8.625
21207,2016-07-01,8.8125
21207,2016-08-01,8.75
21207,2016-09-01,8.65625
21207,2016-10-01,8.90625
21207,2016-11-01,8.375
21207,2016-12-01,9.0625
21207,2017-01-01,8.9375
21207,2017-02-01,9.0
21207,2017-03-01,8.65625
21207,2017-04-01,8.8125
21207,2017-05-01,8.5625
21207,2017-06-01,8.21875
21207,2017-07-01,8.53125
21207,2017-08-01,8.0625
21207,2017-09-01,8.78125
21207,2017-10-01,8.28125
21207,2017-11-01,9.0
21207,2017-12-01,8.71875
21207,2018-01-01,8.21875
21207,2018-02-01,8.59375
21207,2018-03-01,8.03125
21207,2018-04-01,8.34375
21207,2018-05-01,7.34375
21207,2018-06-01,7.90625
21207,2018-07-01,8.28125
21207,2018-08-01,8.28125
21207,2018-09-01,8.40625
